City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
56,Mar Del Plata,AR,75.22,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
57,Dingle,PH,76.33,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
61,Savannah Bight,HN,80.26,clear sky,16.45,-85.85,Villa on Dunbar Rock
63,Loandjili,CG,82.08,broken clouds,-4.7561,11.8578,Résidence ARCHANGE
65,Boende,CD,81.86,overcast clouds,-0.2167,20.8667,
68,Barra Bonita,BR,79.7,clear sky,-22.4947,-48.5581,Hotel Beira Rio
69,Vaini,TO,73.56,overcast clouds,-21.2,-175.2,Keleti Beach Resort
71,Sumbe,AO,81.37,broken clouds,-11.2061,13.8437,Hotel Ritz Sumbe
75,Thinadhoo,MV,83.53,scattered clouds,0.5333,72.9333,
76,Sarangani,PH,82.09,overcast clouds,5.4033,125.4636,Ballistic Islet
78,Bengkulu,ID,77.67,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
79,Mahebourg,MU,80.26,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
82,Yeppoon,AU,73.18,few clouds,-23.1333,150.7333,Villa Mar Colina
89,Chuy,UY,71.78,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
91,Isangel,VU,79.95,overcast clouds,-19.55,169.2667,Tanna Lodge
96,Bayeux,BR,77.63,light rain,-7.125,-34.9322,Infinity Motel
98,Vila Do Maio,CV,70.84,few clouds,15.1333,-23.2167,Hotel Marilu
100,Jardim,BR,86.5,broken clouds,-21.4803,-56.1381,Estancia Hotel - Jardim MS
112,Bambous Virieux,MU,80.22,broken clouds,-20.3428,57.7575,Casa Tia Villa
114,Belmonte,BR,82.0,scattered clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
116,Dzaoudzi,YT,85.89,broken clouds,-12.7887,45.2699,Le Rocher
118,Makakilo City,US,71.69,scattered clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
119,Castro,BR,70.54,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
128,Langsa,ID,75.04,overcast clouds,4.4683,97.9683,OYO 2964 Hotel Ridho
129,Santa Elena,EC,78.35,clear sky,-2.2333,-80.85,HOTEL CISNE II
130,Rach Gia,VN,82.56,overcast clouds,10.0167,105.0833,Nhà Hàng Hòa Giang
131,Saint-Pierre,RE,80.28,broken clouds,-21.3393,55.4781,Lindsey Hôtel
135,Cam Ranh,VN,76.96,scattered clouds,11.9214,109.1591,OYO 598 Peony Hotel
136,Alyangula,AU,83.14,clear sky,-13.8483,136.4192,Groote Eylandt Lodge
137,Adrar,MR,89.17,clear sky,20.5022,-10.0711,
142,Avarua,CK,73.45,overcast clouds,-21.2078,-159.775,Paradise Inn
145,Itarema,BR,82.11,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
146,Kahului,US,73.85,clear sky,20.8947,-156.47,Maui Seaside Hotel
151,Winneba,GH,87.01,overcast clouds,5.3511,-0.6231,Windy Lodge & Beach Resort
157,Bac Lieu,VN,81.86,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
158,Ambunti,PG,74.93,overcast clouds,-4.2365,142.8448,AMBUNTI HIDE INN
160,Gizo,SB,78.98,moderate rain,-8.103,156.8419,Imagination Island
161,Astolfo Dutra,BR,84.67,overcast clouds,-21.3153,-42.8622,Sítio do Ipê
162,Faanui,PF,82.29,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
169,Umm Lajj,SA,84.09,clear sky,25.0213,37.2685,Moon light Furnished Units
171,Guanica,PR,86.13,clear sky,17.9716,-66.908,Copamarina Beach Resort & Spa
172,Palimbang,PH,76.62,overcast clouds,6.2106,124.1894,Felmar Beach resort
173,Catacaos,PE,76.77,broken clouds,-5.2667,-80.6833,Hostal Ñariwalac
178,Santo Anastacio,BR,81.95,few clouds,-21.8383,-51.6103,
182,Victoria,HK,73.45,broken clouds,22.2855,114.1577,Mini Hotel Central
184,Tandil,AR,75.69,clear sky,-37.3217,-59.1332,Hostal de la Sierra Tandil
185,Mundo Nuevo,MX,79.07,clear sky,18.7,-95.5,
187,Khash,IR,78.84,clear sky,28.2211,61.2158,خوابگاه آبجی محدثه
192,Namibe,AO,77.34,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
196,Beloha,MG,80.06,broken clouds,-25.1667,45.05,
197,Huarmey,PE,72.45,few clouds,-10.0681,-78.1522,Hotel Miramar
198,Sola,VU,83.07,overcast clouds,-13.8833,167.55,Leumerus Bungalows
200,Odweyne,SO,89.65,clear sky,9.4092,45.064,Eng Hiirey House
202,Arraial Do Cabo,BR,82.36,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
203,Bubaque,GW,78.85,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
204,Praia,CV,75.74,few clouds,14.9215,-23.5087,LT Aparthotel
211,Manati,PR,84.87,few clouds,18.4275,-66.4921,Manati World Point Inn
220,Monrovia,LR,89.37,light rain,6.3005,-10.7969,Sunset Inn
222,Olinda,BR,78.53,mist,-8.0089,-34.8553,Flat Quatro Rodas Olinda
224,Honiara,SB,77.14,heavy intensity rain,-9.4333,159.95,Heritage Park Hotel
225,Butaritari,KI,81.99,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
226,Harper,LR,85.05,light rain,4.375,-7.7169,Screensaver
227,Nampula,MZ,73.35,few clouds,-15.1165,39.2666,Ruby Backpackers
230,Santiago Del Estero,AR,78.31,clear sky,-27.7951,-64.2615,Apartamentos Castelli 90
231,Presidencia Roque Saenz Pena,AR,77.07,overcast clouds,-26.7852,-60.4388,Hotel Gualok
233,Poum,NC,80.82,moderate rain,-20.2333,164.0167,
236,Malayal,PH,78.26,overcast clouds,7.208,121.942,
238,Inhambane,MZ,84.18,few clouds,-23.865,35.3833,Oceano
239,Bathsheba,BB,84.81,scattered clouds,13.2167,-59.5167,Atlantis Hotel
244,Breves,BR,75.85,overcast clouds,-1.6822,-50.4803,Hotel e Restaurante Grill
245,Menongue,AO,74.01,overcast clouds,-14.6585,17.691,Ritz Lauca
247,Coruripe,BR,85.35,clear sky,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
249,San Luis De Palenque,CO,83.41,scattered clouds,5.4214,-71.7317,Hotel Palenque Los Cubarros
250,Kulhudhuffushi,MV,84.22,few clouds,6.6221,73.07,Haajy Guest House 1
251,Rio Branco,BR,83.01,clear sky,-9.9747,-67.81,Hotel Guapindaia Bosque
252,Carnarvon,AU,78.87,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
255,Saint-Joseph,RE,79.18,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
258,Kavieng,PG,80.69,moderate rain,-2.5744,150.7967,Nusa Island Retreat
260,Antalaha,MG,79.36,light rain,-14.9003,50.2788,Hotel Vitasoa
264,Uige,AO,86.09,broken clouds,-7.6087,15.0613,Hotel Catraio
265,Srandakan,ID,78.8,overcast clouds,-7.9386,110.2506,Puri Brata
266,Geraldton,AU,70.21,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
267,Bitung,ID,77.85,light rain,1.4451,125.1824,K2 Lembeh
273,Pouebo,NC,78.39,moderate rain,-20.4,164.5667,RIVÂT LODGE
274,Gamba,GA,83.01,light rain,-2.65,10.0,
