City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
174,Vuktyl,RU,63.8567,57.3094,21.94,88,32,2.66,scattered clouds
175,Vagur,FO,61.4732,-6.8119,39.16,72,100,23.78,overcast clouds
176,Casper,US,42.8666,-106.3131,31.8,49,75,16.11,broken clouds
177,Jackson,US,42.4165,-122.8345,36.86,73,0,0.0,clear sky
178,Santo Anastacio,BR,-21.8383,-51.6103,81.95,65,12,8.99,few clouds
179,Marrakesh,MA,31.6315,-8.0083,64.47,45,75,5.75,broken clouds
180,Shingu,JP,33.7333,135.9833,53.4,66,100,5.95,overcast clouds
181,Juelsminde,DK,55.7088,10.0167,47.89,94,100,20.54,light rain
182,Victoria,HK,22.2855,114.1577,73.45,71,64,13.0,broken clouds
183,Severo-Kurilsk,RU,50.6789,156.125,32.63,81,90,11.05,overcast clouds
184,Tandil,AR,-37.3217,-59.1332,75.69,39,8,12.33,clear sky
185,Mundo Nuevo,MX,18.7,-95.5,79.07,69,6,13.09,clear sky
186,Shenjiamen,CN,29.9576,122.298,57.04,88,100,7.81,overcast clouds
187,Khash,IR,28.2211,61.2158,78.84,13,0,15.79,clear sky
188,Upernavik,GL,72.7868,-56.1549,2.59,93,30,9.44,scattered clouds
189,Goderich,CA,43.7501,-81.7165,50.92,66,94,12.66,overcast clouds
190,Jiaojiang,CN,28.6803,121.4428,62.01,90,99,1.39,overcast clouds
191,Bullas,ES,38.0467,-1.6723,57.36,61,48,12.06,scattered clouds
192,Namibe,AO,-15.1961,12.1522,77.34,66,10,14.83,clear sky
193,Usogorsk,RU,63.4106,48.6872,34.0,86,100,11.9,overcast clouds
194,Codrington,AU,-38.2667,141.9667,54.9,92,3,5.7,clear sky
195,Kassala,SD,15.451,36.4,105.78,11,0,14.14,clear sky
196,Beloha,MG,-25.1667,45.05,80.06,68,83,9.91,broken clouds
197,Huarmey,PE,-10.0681,-78.1522,72.45,77,17,8.03,few clouds
198,Sola,VU,-13.8833,167.55,83.07,75,100,20.18,overcast clouds
199,Katsuura,JP,35.1333,140.3,59.79,79,100,13.94,overcast clouds
200,Odweyne,SO,9.4092,45.064,89.65,14,0,11.86,clear sky
201,Kontagora,NG,10.3999,5.4695,106.7,16,100,3.47,overcast clouds
202,Arraial Do Cabo,BR,-22.9661,-42.0278,82.36,78,75,12.66,broken clouds
203,Bubaque,GW,11.2833,-15.8333,78.85,59,4,12.95,clear sky
204,Praia,CV,14.9215,-23.5087,75.74,53,20,23.02,few clouds
205,Cortez,US,37.3489,-108.5859,40.03,35,0,5.75,clear sky
206,Klaksvik,FO,62.2266,-6.589,32.92,62,100,34.16,light snow
207,Naze,JP,28.3667,129.4833,59.92,60,100,2.82,overcast clouds
208,Jinchang,CN,38.4953,102.1739,57.51,17,0,3.6,clear sky
209,Carlisle,US,40.2015,-77.1889,51.91,92,100,3.0,overcast clouds
210,Klyuchi,RU,52.2667,79.1667,48.25,62,100,6.71,overcast clouds
211,Manati,PR,18.4275,-66.4921,84.87,83,11,11.34,few clouds
212,Chaihe,CN,44.7667,129.7,27.21,28,78,5.95,broken clouds
213,Karachev,RU,53.1229,34.9852,33.69,97,100,8.55,snow
214,Yar-Sale,RU,66.8333,70.8333,19.71,91,100,28.5,light snow
215,Bethel,US,41.3712,-73.414,48.88,91,100,13.8,light rain
