City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
103,Geraldton,AU,2022-04-03 15:09:32,-28.7667,114.6,73.81,88,5,8.05
104,Kristiinankaupunki,FI,2022-04-03 15:09:33,62.2743,21.376,33.24,78,100,7.78
105,Tuktoyaktuk,CA,2022-04-03 15:09:33,69.4541,-133.0374,-20.97,100,100,2.86
106,Cocobeach,GA,2022-04-03 15:09:13,1.0002,9.5823,82.98,70,78,11.54
107,Katsuura,JP,2022-04-03 15:09:34,35.1333,140.3,50.02,70,100,21.0
108,Kanniyakumari,IN,2022-04-03 15:09:34,8.0833,77.5667,83.05,76,22,9.8
109,Pangnirtung,CA,2022-04-03 15:09:34,66.1451,-65.7125,28.2,74,100,2.68
110,Rochester,US,2022-04-03 15:05:25,43.1548,-77.6156,38.43,92,100,10.36
111,Kobilja Glava,BA,2022-04-03 15:09:35,43.8819,18.3892,36.14,69,100,2.3
112,Arlit,NE,2022-04-03 15:09:35,18.7369,7.3853,106.83,3,4,2.06
113,Buala,SB,2022-04-03 15:09:36,-8.145,159.5921,78.98,84,84,10.04
114,Lincoln,US,2022-04-03 15:08:16,40.8,-96.667,56.12,49,75,14.97
115,Kaitangata,NZ,2022-04-03 15:09:36,-46.2817,169.8464,46.89,95,72,4.97
116,Soria,ES,2022-04-03 15:09:37,41.6667,-2.6667,43.11,43,100,14.36
117,Evans,US,2022-04-03 15:06:57,33.5337,-82.1307,66.88,45,0,8.05
118,Gat,IL,2022-04-03 15:09:37,31.61,34.7642,77.4,39,53,11.23
119,Vuktyl,RU,2022-04-03 15:09:38,63.8567,57.3094,24.35,89,100,18.43
120,New Norfolk,AU,2022-04-03 15:09:38,-42.7826,147.0587,56.7,87,99,0.56
121,Seoul,KR,2022-04-03 15:09:38,37.5683,126.9778,44.04,39,0,1.68
122,Ribeira Grande,PT,2022-04-03 15:09:39,38.5167,-28.7,64.8,72,40,13.8
123,Marsa Matruh,EG,2022-04-03 15:09:39,31.3525,27.2453,69.53,49,82,11.74
124,Talcahuano,CL,2022-04-03 15:09:40,-36.7167,-73.1167,55.08,62,0,11.5
125,Asau,RO,2022-04-03 15:09:40,46.4333,26.4,38.95,95,100,5.97
126,Cervo,ES,2022-04-03 15:09:40,43.6702,-7.4101,52.97,61,24,17.81
127,Kismayo,SO,2022-04-03 15:09:41,-0.3582,42.5454,82.38,72,96,15.32
128,Yellowknife,CA,2022-04-03 15:07:03,62.456,-114.3525,5.41,80,89,11.01
129,Lompoc,US,2022-04-03 15:10:41,34.6391,-120.4579,57.13,89,100,4.61
130,Port Blair,IN,2022-04-03 15:10:42,11.6667,92.75,81.91,75,21,10.56
131,Loudeac,FR,2022-04-03 15:10:42,48.1783,-2.7543,47.48,46,31,12.53
132,Yulara,AU,2022-04-03 15:02:46,-25.2406,130.9889,66.88,26,0,4.54
133,Carnarvon,AU,2022-04-03 15:06:39,-24.8667,113.6333,78.87,83,100,12.66
134,Torbay,CA,2022-04-03 15:10:43,47.6666,-52.7314,40.28,87,100,21.85
135,Talara,PE,2022-04-03 15:10:44,-4.5772,-81.2719,83.16,54,0,19.57
136,Pedasi,PA,2022-04-03 15:10:44,7.5333,-80.0333,83.82,67,47,15.19
137,Vardo,NO,2022-04-03 15:10:45,70.3705,31.1107,28.08,84,100,11.74
138,Iberia,US,2022-04-03 15:10:45,29.9502,-91.7507,70.97,60,0,5.75
139,Esperance,AU,2022-04-03 15:10:45,-33.8667,121.9,67.41,84,100,10.27
140,Port Moresby,PG,2022-04-03 15:07:42,-9.4431,147.1797,75.31,88,100,5.7
141,Moerai,PF,2022-04-03 15:01:12,-22.4333,-151.3333,80.71,76,67,11.05
142,Kodiak,US,2022-04-03 15:09:44,57.79,-152.4072,27.91,86,0,0.0
143,Ilulissat,GL,2022-04-03 15:10:47,69.2167,-51.1,30.22,69,75,2.3
144,Saint George,US,2022-04-03 15:07:04,37.1041,-113.5841,61.39,38,75,3.44
145,Avarua,CK,2022-04-03 15:10:14,-21.2078,-159.775,73.45,94,100,1.14
146,Kyabram,AU,2022-04-03 15:10:48,-36.3167,145.05,61.88,79,100,3.24
147,Krutikha,RU,2022-04-03 15:10:48,53.9599,81.2093,33.73,100,100,4.09
148,Chara,RU,2022-04-03 15:10:49,56.9064,118.2631,9.05,80,100,4.81
149,Touros,BR,2022-04-03 15:10:49,-5.1989,-35.4608,83.17,73,97,14.14
150,Camacha,PT,2022-04-03 15:09:17,33.0833,-16.3333,56.62,82,75,20.71
151,Nageshwari,BD,2022-04-03 15:10:50,25.9377,89.7148,81.99,70,42,5.26
152,Iztapa,GT,2022-04-03 15:10:50,13.9333,-90.7075,86.13,56,2,5.57
153,Leshukonskoye,RU,2022-04-03 15:10:51,64.8989,45.7622,26.06,80,99,4.9
154,Banjar,ID,2022-04-03 15:10:51,-8.19,114.9675,77.23,89,83,3.0
155,Novaya Lyalya,RU,2022-04-03 15:10:52,59.055,60.599,37.24,98,100,10.87
